post_id,title,category,score,num_comments,author,collected_at,title_length
47614528,My Experience as a Rice Farmer,other,128,44,surprisetalk,2026-04-07 14:29:00.889447,30
47672295,Every GPU That Mattered,technology,9,3,jonbaer,2026-04-07 14:29:01.865510,23
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,366,170,MattHart88,2026-04-07 14:29:02.887803,67
47669337,Solod – A subset of Go that translates to C,other,126,33,TheWiggles,2026-04-07 14:29:04.014809,43
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1059,588,StanAngeloff,2026-04-07 14:29:05.038701,77
47659135,Sam Altman may control our future – can he be trusted?,other,1354,545,adrianhon,2026-04-07 14:29:06.166136,54
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,18,1,ductionist,2026-04-07 14:29:07.292377,54
47663147,Launch HN: Freestyle – Sandboxes for Coding Agents,other,265,146,benswerd,2026-04-07 14:29:08.417550,50
47641528,Apollo Guidance Computer restoration videos,technology,53,8,mariuz,2026-04-07 14:29:09.543894,43
47662234,A cryptography engineer's perspective on quantum computing timelines,other,459,186,thadt,2026-04-07 14:29:10.670943,68
47667321,Peptides: where to begin?,other,142,181,A_D_E_P_T,2026-04-07 14:29:11.694976,25
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,300,146,Bender,2026-04-07 14:29:12.718200,74
47626242,Second Revision of 6502 Laptop,other,14,0,uticus,2026-04-07 14:29:13.742919,30
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,272,78,player_piano,2026-04-07 14:29:14.869772,64
47660286,What being ripped off taught me,other,400,202,doctorhandshake,2026-04-07 14:29:16.448973,31
47662596,AI singer now occupies eleven spots on iTunes singles chart,technology,166,264,flinner,2026-04-07 14:29:18.046876,59
47671527,Some iPhone Apps Receive Mysterious Update 'From Apple',other,37,7,tosh,2026-04-07 14:29:19.580673,55
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,74,22,noone_youknow,2026-04-07 14:29:21.115319,72
47660853,Book review: There Is No Antimemetics Division,entertainment,246,175,ibobev,2026-04-07 14:29:22.757836,46
